"","Household Income","","","","","","","","","","","","","",""
"","Total","Less than $10,000","$10,000 to $19,999","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $59,999","$60,000 to $79,999","$80,000 to $99,999","$100,000 to $119,999","$120,000 to $139,999","$140,000 to $159,999","$160,000 to $179,999","$180,000 to $199,999","$200,000 or more"
"Characteristics","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate"
"Visited emergency room within last 12 months due to heat:","","","","","","","","","","","","","","",""
"  Yes","2,347","259","295","279","251","220","151","142","157","137","89","94","S","S","190"
"  No","126,867","8,651","8,456","8,653","9,317","9,055","8,728","15,890","12,420","9,770","8,028","6,200","4,327","3,154","14,218"
"  Not reported","4,038","448","250","248","336","292","302","383","471","260","269","134","187","S","375"
"","","","","","","","","","","","","","","",""
"Electric Fuses and Circuit Breakers","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"      With electrical wiring","133,110","9,247","8,996","9,354","9,778","9,451","9,252","16,372","13,037","10,038","8,232","6,646","4,671","3,490","14,546"
"No fuses or breakers blown in last 3 months","122,680","8,637","8,447","8,818","8,997","8,794","8,540","15,220","11,966","9,227","7,528","6,004","4,247","3,198","13,057"
"With fuses or breakers blown in last 3 months","10,429","610","549","536","781","657","712","1,152","1,072","812","703","642","424","292","1,489"
"  1 time","5,662","335","286","286","438","333","352","637","600","458","365","363","253","170","787"
"  2 times","2,319","143","120","83","119","160","182","310","230","148","142","184","77","44","376"
"  3 times","1,097","36","52","68","105","84","59","96","95","107","S","S","S","S","181"
"  4 times or more","1,351","97","91","99","119","80","120","109","146","98","104","51","S","S","145"
"","","","","","","","","","","","","","","",""
"Power Outages","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"No power outage in last 12 months","98,410","7,576","6,995","7,272","7,392","7,027","7,055","12,040","9,496","7,101","5,774","4,673","3,459","2,434","10,116"
"Experienced power outage in last 12 months","33,866","1,501","2,024","2,138","2,122","2,254","2,210","4,190","3,464","2,766","2,266","2,150","1,350","1,215","4,215"
"  No power outages lasting 6 hours or more","10,093","326","541","619","576","589","585","1,204","1,019","830","697","700","505","474","1,428"
"  Number of power outages that lasted 6 hours or more:","","","","","","","","","","","","","","",""
"    1","13,156","631","813","800","818","908","801","1,663","1,362","1,073","952","840","469","429","1,596"
"    2","5,960","234","363","418","394","401","401","786","575","550","313","345","205","201","777"
"    3","1,944","117","S","127","135","149","172","260","216","142","94","124","S","S","192"
"    4 or more","2,535","188","183","159","194","202","231","228","265","161","S","133","S","S","212"
"  Number of power outages not reported","179","S","S","S","S","S","S","S","S","S","S","S",".",".","S"
"Power outage not reported","904","S","S","S","S","S","S","165","S","S","S","S","S","S","134"
"","","","","","","","","","","","","","","",""
"Problems Caused by Power Outages in Last 12 Months","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"      Experienced power outage in last 12 months","33,866","1,501","2,024","2,138","2,122","2,254","2,210","4,190","3,464","2,766","2,266","2,150","1,350","1,215","4,215"
"","","","","","","","","","","","","","","",""
"Food spoiled:","","","","","","","","","","","","","","",""
"  Yes","4,856","239","369","381","357","273","334","696","556","376","294","241","156","87","497"
"  No","28,993","1,259","1,652","1,755","1,766","1,980","1,876","3,493","2,908","2,390","1,970","1,909","1,194","1,128","3,712"
"  Not reported","S","S","S","S",".","S",".",".",".",".","S",".",".",".","S"
"","","","","","","","","","","","","","","",""
"Refrigerated medicine spoiled:","","","","","","","","","","","","","","",""
"  Yes","705","S","S","S","103","S","S","S","S","119","S","S","S","S","S"
"  No","23,937","1,082","1,371","1,463","1,489","1,638","1,579","3,044","2,541","1,829","1,611","1,519","867","818","3,086"
"  No refrigerated medicine","9,210","373","549","624","531","578","583","1,088","889","815","618","607","479","385","1,091"
"  Not reported","S","S","S","S",".","S",".",".",".","S",".",".",".","S","."
"","","","","","","","","","","","","","","",""
"Had to leave home and stay somewhere overnight:","","","","","","","","","","","","","","",""
"  Yes","2,856","188","298","257","235","166","238","345","300","232","148","124","S","S","182"
"  No","30,992","1,310","1,726","1,881","1,887","2,088","1,972","3,831","3,165","2,533","2,118","2,026","1,297","1,126","4,033"
"  Not reported","S","S",".",".",".",".",".","S",".",".",".",".",".","S","."
"","","","","","","","","","","","","","","",""
"Missed work:","","","","","","","","","","","","","","",""
"  Yes","2,445","S","S","123","162","105","244","272","248","227","134","198","108","S","343"
"  No","28,620","1,111","1,482","1,581","1,658","1,944","1,723","3,631","3,064","2,404","2,083","1,861","1,204","1,083","3,792"
"  Did not have work","2,775","319","430","431","302","205","240","271","153","135","S","S","S","S","S"
"  Not reported","S","S",".","S",".",".","S","S",".",".",".",".",".","S","."
"","","","","","","","","","","","","","","",""
"Pipes froze:","","","","","","","","","","","","","","",""
"  Yes","673","S","116","S","S","S","S","S","S","S","S","S","S","S","S"
"  No","33,174","1,457","1,907","2,125","2,039","2,223","2,157","4,101","3,403","2,732","2,228","2,107","1,334","1,212","4,149"
