"","Household Income","","","","","","","","","","","","","",""
"","Total","Less than $10,000","$10,000 to $19,999","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $59,999","$60,000 to $79,999","$80,000 to $99,999","$100,000 to $119,999","$120,000 to $139,999","$140,000 to $159,999","$160,000 to $179,999","$180,000 to $199,999","$200,000 or more"
"","","","","","","","","","","","","","","",""
"Daily","7,289","1,225","1,026","907","891","671","466","780","460","271","243","116","S","S","148"
"Weekly","2,749","272","226","265","233","250","163","373","274","136","116","125","74","S","193"
"Monthly","500","58","S","54","S","S","S","S","S","S","S","S","S","S","S"
"A few times","3,866","405","466","446","372","500","404","393","261","109","172","101","S","S","141"
"Never","113,008","8,248","8,216","9,324","8,990","8,702","7,629","14,433","11,080","8,827","6,571","5,130","3,279","2,457","10,123"
"Not reported","1,091","147","121","S","108","S","S","122","98","114","S","S","S","S","71"
"","","","","","","","","","","","","","","",""
"Second-hand Smoke Entering Home","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"Daily","2,510","276","219","308","259","261","174","251","283","109","S","104","S","S","125"
"Weekly","1,521","149","140","112","165","139","78","244","128","97","52","S","S","S","111"
"Monthly","760","59","86","S","S","S","S","153","S","S","S","S","S","S","S"
"A few times","8,901","714","750","860","965","915","722","1,010","768","465","471","344","241","122","554"
"Never","103,149","7,456","7,482","8,451","7,917","7,813","6,949","13,165","10,128","8,236","6,074","4,725","3,035","2,279","9,440"
"Not reported","1,125","147","127","S","139","S","S","126","99","90","S","S","S","S","71"
"","","","","","","","","","","","","","","",""
"Sewage Disposal Breakdowns","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"With public sewer","108,725","9,247","8,891","9,317","8,752","8,777","7,356","13,671","9,925","8,090","5,900","4,699","3,075","2,215","8,810"
"  No breakdowns in last 3 months","107,146","9,089","8,761","9,152","8,557","8,578","7,257","13,474","9,800","8,006","5,839","4,644","3,057","2,204","8,726"
"  With breakdown(s) in last 3 months","1,579","158","130","165","195","199","99","197","125","85","60","55","S","S","83"
"    No breakdowns lasting 6 hours or more","226","S","S","S","S","S","S","S","S","S","S","S","S",".","S"
"    Number of breakdowns that lasted 6 hours or more:","","","","","","","","","","","","","","",""
"      1","782","55","55","89","121","78","S","115","65","S","42","S","S","S","51"
"      2 or more","571","93","54","49","56","74","44","53","48","S","S","S","S","S","S"
"","","","","","","","","","","","","","","",""
"With septic tank or cesspool","19,489","1,052","1,405","1,621","1,760","1,462","1,467","2,431","2,054","1,579","1,291","831","535","409","1,592"
"  No breakdowns in last 3 months","19,169","1,031","1,373","1,580","1,743","1,420","1,436","2,417","2,013","1,563","1,275","827","519","405","1,567"
"  With breakdown(s) in last 3 months","320","S","S","41","S","S","S","S","S","S","S","S","S","S","S"
"    No breakdowns lasting 6 hours or more","61","S","S","S",".","S","S","S","S",".","S",".",".",".","."
"    Number of breakdowns that lasted 6 hours or more:","","","","","","","","","","","","","","",""
"      1","204","S","S","S","S","S","S","S","S","S","S","S","S","S","S"
"      2 or more","55","S","S","S","S","S","S","S",".",".","S",".","S",".","S"
"","","","","","","","","","","","","","","",""
